implementing_agency,period,n_works_in_period,log_median_amount,round_rate,completion_rate,median_delay,templating_rate,backdated_rate,rs_total
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2019Q4,5,4.383994789441733,0.0,0.0,345.0,0.0,0.0,96011.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2020Q1,4,4.795880017344075,0.5,0.0,345.0,0.0,0.0,335000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2020Q3,9,4.382215223047534,0.0,0.0,345.0,0.0,0.0,161875.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2022Q2,2,4.786531380644413,0.5,0.0,345.0,0.0,0.0,122338.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2023Q1,21,5.079181246047625,0.23809523809523808,0.0,345.0,0.0,0.0,4348865.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2023Q2,10,5.079181246047625,0.4,0.0,345.0,0.0,0.0,1695000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2023Q3,115,5.477121254719663,0.9652173913043478,0.008695652173913044,345.0,0.0,0.008695652173913044,43774246.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2023Q4,31,5.3979400086720375,0.6774193548387096,0.0,345.0,0.0,0.0,8900000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2024Q1,94,5.6020599913279625,0.9468085106382979,0.010638297872340425,301.0,0.0,0.0,37449910.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2024Q4,21,5.176091259055681,1.0,0.0,345.0,0.0,0.0,4000000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2025Q2,55,5.079181246047625,0.05454545454545454,0.0,345.0,0.0,0.0,7340000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2025Q3,64,5.574031267727719,0.9375,0.0,345.0,0.0,0.0,22340000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2025Q4,6,5.544068044350276,0.8333333333333334,0.0,345.0,0.0,0.0,2285000.0
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2026Q1,43,5.6020599913279625,0.6744186046511628,0.0,345.0,0.0,0.0,15900000.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2023Q3,22,5.454392806175207,0.0,0.9545454545454546,667.0,0.09090909090909091,0.0,17788434.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2023Q4,60,6.032406597677042,0.0,1.0,828.0,0.0,0.0,74890549.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2024Q1,15,5.397721069075744,0.0,0.2,746.0,0.3333333333333333,0.0,10641569.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2024Q3,55,6.2046061202893705,0.0,1.0,308.0,0.0,0.0,87880128.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2024Q4,21,5.420285884941918,0.0,0.38095238095238093,408.0,0.0,0.0,17007164.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2025Q1,29,6.032474106225535,0.3448275862068966,0.4482758620689655,365.0,0.0,0.0,30141039.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2025Q2,50,5.3979400086720375,0.58,0.08,232.0,0.0,0.0,42858028.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2025Q3,71,6.155901163553887,0.16901408450704225,0.352112676056338,166.0,0.08450704225352113,0.0,90764628.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2025Q4,37,5.8750612633917,0.13513513513513514,0.24324324324324326,212.0,0.0,0.0,45551839.0
AGRA(DISTRICT MAGISTRAE AGRA_IDA),2026Q1,57,5.423245873936808,0.12280701754385964,0.0,345.0,0.0,0.0,38084200.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2023Q3,116,5.301029995663981,0.33620689655172414,0.43103448275862066,902.0,0.0,0.0,61898450.0
AHMADABAD(DISTRICT COLLECTOR AHMADABAD_IDA),2023Q4,146,5.436574474687501,0.2876712328767123,0.4589041095890411,692.0,0.0,0.0,60737967.0
