work_ref,duration_days,event_observed,entry_days,log_amount,is_sanctioned,archetype_id,state_name
MP3017400-W101,1068.0,False,0.0,5.6989569753061255,False,9,Karnataka
MP3017400-W103,1058.0,False,0.0,4.9969492484953815,False,9,Karnataka
MP3017400-W104,1056.0,False,0.0,5.698970004336019,False,28,Karnataka
MP3018938-W105,1052.0,False,0.0,5.999563749305657,False,24,Andhra Pradesh
MP3017406-W106,1050.0,False,0.0,6.0,False,49,Karnataka
MP3019123-W107,1043.0,False,0.0,5.3979400086720375,False,44,Punjab
MP3019123-W109,1043.0,False,0.0,5.3979400086720375,False,44,Punjab
MP3019123-W110,1043.0,False,0.0,5.3979400086720375,False,28,Punjab
MP3018938-W112,1042.0,False,0.0,5.698970004336019,False,13,Andhra Pradesh
MP3018938-W113,1042.0,False,0.0,5.698970004336019,False,13,Andhra Pradesh
MP3017400-W119,1028.0,False,0.0,5.698970004336019,False,9,Karnataka
MP3017400-W120,1028.0,False,0.0,5.698970004336019,False,9,Karnataka
MP3019056-W121,1024.0,False,0.0,6.0,False,9,Madhya Pradesh
MP3018948-W124,1020.0,False,0.0,5.447158031342219,False,31,Andhra Pradesh
MP3019121-W127,1019.0,False,0.0,6.0,False,1,Odisha
MP3018948-W131,1016.0,False,0.0,5.698970004336019,False,44,Andhra Pradesh
MP3018948-W132,1016.0,False,0.0,5.698890955546655,False,44,Andhra Pradesh
MP3018948-W133,1016.0,False,0.0,5.85729871665789,False,23,Andhra Pradesh
MP3019126-W134,1016.0,False,0.0,6.39788684777394,False,26,Punjab
MP3019123-W135,1015.0,False,0.0,5.395239001081552,False,47,Punjab
MP3017508-W148,1014.0,False,0.0,5.698970004336019,False,13,Madhya Pradesh
MP3017288-W149,1014.0,False,0.0,6.3979400086720375,False,1,Rajasthan
MP3019067-W153,1011.0,False,0.0,6.096910013008056,False,26,Madhya Pradesh
MP3018977-W157,1008.0,False,0.0,6.012837224705172,False,32,Gujarat
MP3017447-W162,1005.0,False,0.0,5.0,False,7,Punjab
MP3017447-W165,1005.0,False,0.0,4.950851458888547,False,45,Punjab
