archetype_id,archetype_label,n_unique_descriptions,n_works,example_descriptions
0,tanker / water / mobile,2361,4351,Purchase of mobile water tankers | PURCHASE OF WATER TANKER | GI Water Tanker 5000 Liters With 900X20 Tyres and fire fighting system
1,room / construction / additional,3118,3262,Construction of additional rooms and halls in the existing public and community building | Multi purpose waiting hall for passengers and police personnel etc | Construction work of room in the school
2,mandap / const / repair,4932,5370,As Per Attechment | Yatri Prtikshalaya | ZIM HETU
3,street / led / lights,3099,3585,Street lights | Install 2 set of Street lights | HIGH MASK LED STREET LIGHT ( 6  LIGHTS)
4,electrification / electricity / transformer,1510,1604,Installation of 63 KVA Transformer | Improvement of electricity distribution infrastructure | Supply installation and required electrification of medical equipment for labour rooms for mother and new born baby care
5,cc / road / construction,6218,6763,CC Road | CONSTRUCTION OF CC ROAD | Laying of CC Road
6,paver / block / work,4530,4820,For the Laying of a paving block work | Paver Block Work | Installation of Paver Block
7,school / class / primary,4975,5079,"Construction of all weather shades with insulation and flooring with complete finishing for assembly perpous in schools | table of kitchen, private school, | Furniture for Government Primary School and junior high school of block Faridpur bareilly"
8,solar / light / nag,3081,3204,1No Solar Invertor 2KVA | 1Nos - Solar Invertor 2KVA | BABA SAHAB KE MURTI KE PASS 01 NAG SOLAR STREET LIGHT
9,hall / community / construction,9160,9734,Construction of Community Hall | Construction of community hall | Construction of Hall
10,solar street / street light / installation solar,4134,5610,From My MP development fund place the solar lights s par attached list by Project Manager Construction and Design Services E/M Wing U.P. Jal Nigam S-17/24/18 Charan Nagar Colony Nadesar Varanasi | From my MP Development fund place the solar lights as par attached list by Project Manager Construcation and Design Services E/M Wing U.P. Jal Nigam S-17/24/18 Charan Nagar Colony Nadesar Varanasi 221002 | Installation of Solar Street Lights
11,kam / nu / game,1668,1673,Patel Faliyama CC road nu kam | pevar block nu kaam | gaame pevar block nu kaam
12,wall / boundary / construction,4624,4792,Boundary wall | Boundary Wall | Construction of boundary walls of existing public and community buildings
13,road / construction / concrete,10189,10756,Construction of Concrete Road | Road Development | cement road
14,campus / solar light / installation solar,27,29,"Installation of Solar Light At Sheetla Mata Temple Campus. | Installation of Solar Light At Hanuman Temple Campus. | Installation of Solar Light At Hanuman Temple Campus, Infront of Junior High School."
15,tube / pond / mining,2489,2537,"Deep Tube well with P.V.C Pipes ,including boring 250 to 500ft. With Soak Pit | Installation of One (1)Tube Well for Drinking water including Chatal with drainage system (one wall for Foundation Name Display) | Providing Water Pipeline Connections"
16,ke / pas / ghar,6962,7087,Sansad Gram Chaupal | Saansad Gram Chaupal | kabristan ke pass
17,bus / shelter / stand,2285,2654,"Construction of bus-sheds or bus-stops | It is recommended to get the construction work of ""Permanent Fabricated Bus Stop Model No. 4"" done in the following cities-wards and tehsil-villages. For this, an amount of Rs.3,06,327/-. (Rs. three lakh six thousand three hundred twenty seven) is sanctioned per ""Bus Stop"". The implementing agency of all the works will remain Madhya Pradesh Agro Industries Development Corporation, Bhopal. Complete the construction work soon. District Bhopal – As per attached list 2 page. | Bus stop (yatri Pratikhshlay) Model No RS 01"
18,community / centre / center,2569,2772,Construction of buildings for community cultural activities | Construction of community centers and community halls | Construction of Community Center
19,drain / construction / house,3655,3981,"Construction of roads, link roads, pathways or any other road with or without drainage system | FOR STREET AND DRAINS | CC Drain"
20,toilet / construction / bathroom,1445,1488,Construction of waiting shades for public near bus stand with community toilet | Administration of public sewage disposal trolley (toilet) in Panchayats | Construction of community toilet
21,borewell / motor / installing,1614,1650,Irrigation Facilities through Borewell | Installing tube-wells and borewells | Work of Bore motor
22,centre / community / gp,3026,3082,Public Place | For Development of Park | Setting up of Farmers Training Center and Common Facility Center for agro processing
23,crematorium / cremation / ground,2256,2443,"Proposed Model Plan for the construction of cremation chully along with small rest shade | construction of Cremation | Part amount for improvement of crematorium, Laththi sagri, paver block, kot diwal and bankara second stage"
24,school / purchase / books,4156,5557,Purchase of books and periodicals for libraries | knowledge improvement of student's. | PURCHASE OF BOOKS FOR SCHOOL LIBRARY
25,shed / construction / tin,3708,4095,Common work sheds | CONSTRUCTION OF SHED | Common work sheds for artisans
26,purchase / ambulance / vehicle,2317,2966,public utility | PASSENGERS IN RURAL AREAS WHO DEPEND ON PUBLIC TRANSPORT CAN BE PROVIDED WITH QUALITY TIME AND SAFETY FROM SUN AND RAIN | Purchase of equipment for Anganwadi Smart Anganwadi
27,mast / high / light,11968,14896,"HIGH MAST LIGHT WITH FOUR LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE | High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W) | Intallation of 8 meter solar semi high mast with 4x 30W DC food light semi Integrated
haveing lumen output minimum 4200x 4=16800 LM with battery pack Lifepo4 30ah x 4
nos12.8 v with 400wp panel. ( LM 79 report from NABL, & Design reports, brand's TDS &
OEM'S to be provided"
28,construction / path / block,4631,4747,construction of footpath earth work at different places | Construction of footpath (earth work) | Construction work of 20 feet x 15 feet covered Community Chaupal
29,gym / benches / open,3591,4702,"Setting up of Laboratory  Science Lab Science Park | Fitting of Sitting RCC Benches in Public Places | open gym material (ped deck, rover, air swing swing, leg press, surf board, cross trainer, parralel bar)"
30,installation mml / mml 10 / mr minimast,1705,1930,"Installation of MML (10 Mtr Minimast 150Wx 6 Nos) | INSTALLATION OF HANDPIPE | Installation of MML (10 Mtr
Minimast 150Wx 6 Nos)"
31,drilling / bore / scheme,1543,1592,DRILLING OF BOREWELL ALONG WITH PUMPSET AND ALL AMENITIES. | drilling well | Drilling of Bore well  with Hand pump
32,pccd / sc area,668,772,"???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ????? | ??.??. ????? ????? ?????? 5500 ???? ???? ?? ????? 9''X16"" | ???? ?????? ??????? ???????? ??? ????? ???? ?? PCCD ????????? ?????? ?????? ??? ????? ?? ??? ???? ??? ????? ???? ?????? ?? ???? ????"
33,light / high / mast,5248,5340,HIGH MAST LIGHT KA ADHISTHAPAN | HIGH MAST LIGHT KA ADHISTHAPAN-1 | mandir ke pas light
34,interlocking / work / length,1613,1622,Construction of 100 mtr. Interlocking Work | Laying of interlocks | Interlocking and Naali work
35,panchayat / gram / ke,6188,6254,"Construction of Street in the Village, The working agency will be Gram Panchayat | Betul Block ke Gram Panchayat me Yatri prtikshalaya | Street and drainage work in the village. The working agency will be Gram Panchayat"
36,solar / installation / request,3633,5439,SOLAR LIGHT | From My MP development fund place the solar lights as par attached list by Area manager Uttaar Pradesh small corporation limited Prayagraj | Installation of Solar Light at Creamation Ground.
37,pump / hand / installation,2151,2415,Installing a big hand pump (India Mark III) at a public place | Handpump | Installing of Hand Pumps
38,nirman / mandir / ke,5741,5864,"BHADPURA KE MAHMOODAPUR, MUBARIKPUR, METHI NAVADIYA, ALHAIYA, DHAKIYA BARKALISHAH, MATKAPUR, DANDIYA NAJMULNISHA, MUNDIYA JAGROOP, DHAMIPUR, JOHRA JADUPUR, PARASRAMPUR, NAWABGANJ KE KHAMPUR URF SANGRAMPUR, SANTOSHPUR, NIJAMAU, JOGITHER ME SHAMSHAN SHED KA NIRMAN | MIRGNJ KE -MANDANPUR, SUJATPUR,LABHEDA,GUGAI,NARELI RASOOLPUR, FATEHGANJ KE KATHOLA BENIRAM, PANTHARIYA, KERA, DHAUR SATUIYA, PACHTAUR, SHERGARH KE ABHAYPURA URF JOKHANPUR, DUNKI ME SHAMSHAN SHED KA NIRMAN | KALMESHWAR SABHA BHAVAN"
39,se / tak / ke,4052,4058,GRAM SE SHANTIDHAM KI OR CC ROAD NIRMAN | Janpad Nainital ke antargat gram Alchona Tahsil Nainital vikaskhand Bhimtal Mein Chafi Alchona mukhya motor Marg Se Thum timila Tak Sadak Nirman Karya Hetu | Janpad Nainital ke antargat gram bus Gaon Vikas Khand Ramgarh mein suyal badi Akoda Khan mukhya motor Marg se dugdh Dairy se kasangarh mandir ki aur sarvjanik Sthan Mein Sadak Nirman Kary hetu
40,light / highmast / minimast,4045,5858,"Semi LED Highmast Light | Electric Highmast Light (Four way) | Supply, erection testing and commissioning of 7 mt LED based solar Mini High lighting system"
41,milk / producers / cooperative society,332,337,Construction of Milk Dairy Building | Continuation Construction of Milk Dairy Building | Providing Stainless Steel Cans (6 No's) to Ekamba Milk Producers Cooperative Society
42,interlocking / tiles / road,1770,1829,FOR INTERLOKING TILES | Providing and fixing checkered tiles on walking track | Construction of Tile Work
43,culvert / construction / box,1067,1101,Construction of culverts and bridges | Construction of Bridge | Construction of Puliya (Culvert)
44,road / cc / laying,5443,5513,C.C. Road | PCC Road Nirman | Internal road
45,water / drinking / plant,3462,4249,Installing community drinking water plants | Water Tenkar | Solar powered standalone community Iron/Arsenic advanced water purification system with auto back wash & SS tank for product water output as per IS-10500 -2012 (prescribed Implementing Agency is Braithwaite & Co. Ltd)
46,nirman / ke / gram,4519,5175,Muktidham Nirman | Rangmanch Nirman | Ghaat Nirman
47,cc / cameras / road recommended,1967,2609,Installation of CCTV Cameras at Various locations | CC ROAD NIRMAN | Work of C.C.Road
48,pcc / road / house,4082,4243,construction of pcc | Work of RCC Road | Construction of PCC Road
