work_ref,audit_value,cost_days,travel_cluster,cum_days,rs_exposure,priority,visit_order,state_name,recommended_amount,work_description
MP3019436-W119849,91820820.93743911,1.0,"Lakshadweep, LAKSHADWEEP(ST)",1.0,40531122.67912603,0.7551466204078924,1,Lakshadweep,75742166.0,Procurement of MRI Mechine to Hospital Agatti
MP3019436-W17821,49857291.72576949,0.25,"Lakshadweep, LAKSHADWEEP(ST)",1.25,0.0,0.6313096067530232,2,Lakshadweep,26324797.0,Providing 2 Nos 1010 KV DG sets to Power House Andrott
MP3042791-W270039,22650908.795325924,0.25,"Lakshadweep, LAKSHADWEEP(ST)",1.5,26873959.587674778,0.42142857142857215,3,Lakshadweep,30626949.0,"Providing Sports Park facilities to Valiyabhoomi, Kadmat"
MP3017243-W275442,83521744.078083,1.0,"Karnataka, Sitting Rajya Sabha",2.5,41266789.822013594,0.6746485849623698,4,Karnataka,44000000.0,"Purchase of Medical Equipments for NICU at Shimoga Institute of Medical Sciences, Shivamogga"
MP3017243-W281928,46827648.0579825,0.25,"Karnataka, Sitting Rajya Sabha",2.75,19100215.60355161,0.6129204118679565,5,Karnataka,20000000.0,Construction of Vijayanagara District Cultural Center (Rangamandira) at Hospete - Phase 1
MP3017243-W281929,46827648.0579825,0.25,"Karnataka, Sitting Rajya Sabha",3.0,19100215.60355161,0.6129204118679565,6,Karnataka,20000000.0,Construction of Vijayanagara District Cultural Center (Rangamandira) at Hospete - Phase 2
MP3017243-W141524,31084511.27819544,0.25,"Karnataka, Sitting Rajya Sabha",3.25,0.0,0.4872180451127812,7,Karnataka,31900000.0,SETTING UP OF BIONEST - BIO - INCUBATION CENTRE AT IIT DHARWAD
MP3017304-W65656,83490562.85757628,1.0,"Tamil Nadu, Sitting Rajya Sabha",4.25,0.0,0.6965268950219684,8,Tamil Nadu,39955654.0,"Construction of Public Waiting Hall, Toilet and Canteen at Government Head Hospital Complex, Kumbakonam"
MP3017368-W239327,66969307.79181274,1.0,"Odisha, Sitting Rajya Sabha",5.25,36851791.19505697,0.6057535298383318,9,Odisha,49500000.0,Setting up of NaMo Semiconductor Laboratory at IIT Bhubaneswar
MP3019002-W14785,62794257.0462702,1.0,"Gujarat, AHMEDABAD EAST",6.25,0.0,0.8970839340812469,10,Gujarat,17499549.0,"Saraspur Primary School No.3/4 managed by Nagar Primary Education Committee, Ahmedabad, transform it as Smart School (Including Joyful Learning Classroom-1, Smart Panel-8, Science and Math Lab, Furniture and TV-1, 3D Education Chart – 9400 Sq.Ft., 3D Paint – 15000 Sq.Ft., Fancy Benches (Standard 1 to 4)-102, White Board-11, Sports Kit-4, Playground Equipment-12, Sound System-2, Musical Instruments-1 Set, Astronomical Telescope-1, Stem & Robotics lab 1 including furniture"
