implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),2024Q4,4.762468425888701,1.0,0.9972084161893529,9,266,62,55432090.0,100481725.0,AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 1.00); 89 works/quarter -> 10 works/quarter; median Rs.10^5.22 -> median Rs.10^6.10; 0% round-number amounts -> 1% round-number amounts; 32% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DAMOH(DISTRICT COLLECTOR DAMOH_IDA),2024Q3,4.160978144826565,0.9497197332929128,0.9854752718762617,8,96,139,33226484.0,38823120.0,DAMOH(DISTRICT COLLECTOR DAMOH_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.95); 48 works/quarter -> 23 works/quarter; 82% round-number amounts -> 16% round-number amounts; 86% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),2023Q4,3.77685856235409,0.8573941646134433,0.9389656910013012,9,347,285,74786328.7,213031325.0,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA): behaviour shifts at 2023Q4 (archetype-mix JS 0.86); 174 works/quarter -> 41 works/quarter; 0% round-number amounts -> 4% round-number amounts; 12% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),2024Q3,3.916174214385049,0.6838269835148236,0.9329929928702027,7,87,570,42648921.0,53169602.0,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.68); 44 works/quarter -> 114 works/quarter; 16% round-number amounts -> 0% round-number amounts; 4% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),2024Q4,4.431033758577867,0.5837771047873028,0.9288504045214127,9,149,103,54013971.0,54237377.0,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.58); 37 works/quarter -> 21 works/quarter; 74% round-number amounts -> 28% round-number amounts; 24% repeated descriptions -> 52% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MADURAI(DISTRICT COLLECTOR MADURAI_IDA),2025Q4,4.073971377989797,0.6043445240887637,0.9286680066534179,9,692,36,615397898.0,15950000.0,MADURAI(DISTRICT COLLECTOR MADURAI_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.60); 99 works/quarter -> 18 works/quarter; 30% round-number amounts -> 100% round-number amounts; 2% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),2024Q3,3.75321723903512,0.8092405645274687,0.9279675878331514,9,53,707,56341681.0,287910092.0,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.81); 26 works/quarter -> 101 works/quarter; 91% round-number amounts -> 27% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),2024Q4,3.717159651089557,0.7648201168152609,0.9167995226852588,7,138,74,58950000.0,52626832.0,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN): behaviour shifts at 2024Q4 (archetype-mix JS 0.76); 69 works/quarter -> 15 works/quarter; 96% round-number amounts -> 79% round-number amounts; 79% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),2024Q3,4.840977834175501,0.5473466923302748,0.9149063183892499,10,184,99,175628364.0,169104393.0,COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.55); 61 works/quarter -> 14 works/quarter; 22% round-number amounts -> 76% round-number amounts; 61% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA),2024Q4,3.9658835867292135,0.5942923881815576,0.9122475931660466,7,140,56,70753234.0,103152892.0,West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.59); 70 works/quarter -> 11 works/quarter; 18% round-number amounts -> 62% round-number amounts; 61% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA),2024Q3,3.7853887388114558,0.6608018131734548,0.9084821428571429,10,109,147,30594566.0,58587290.0,ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.66); 36 works/quarter -> 21 works/quarter; 72% round-number amounts -> 96% round-number amounts; 0% repeated descriptions -> 3% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),2025Q3,3.553519516989729,0.8679566115889206,0.9032514387870735,6,515,23,154641033.0,23531051.0,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.87); 129 works/quarter -> 12 works/quarter; 38% round-number amounts -> 92% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),2024Q3,4.04142497285461,0.5513899743380372,0.9030500772184706,9,292,206,143890797.0,157279000.0,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.55); 146 works/quarter -> 29 works/quarter; 72% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),2023Q3,4.256862559542804,0.5179325969420461,0.8965604004517282,12,45,429,6301751.0,141989156.0,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA): behaviour shifts at 2023Q3 (archetype-mix JS 0.52); 11 works/quarter -> 54 works/quarter; 16% round-number amounts -> 76% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SEONI(District Collector Seoni_IDA),2024Q4,3.5728589088308946,0.6609358240814505,0.8765929377832271,8,220,98,33300525.2,65371491.0,SEONI(District Collector Seoni_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.66); 73 works/quarter -> 20 works/quarter; median Rs.10^5.00 -> median Rs.10^5.83; 51% round-number amounts -> 82% round-number amounts; 48% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SAGAR(DISTRICT COLLECTOR SAGAR_IDA),2024Q4,3.5210344351741663,0.703930875864333,0.8750028471163592,9,172,172,61062342.0,95577025.0,SAGAR(DISTRICT COLLECTOR SAGAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.70); 57 works/quarter -> 29 works/quarter; 70% repeated descriptions -> 8% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
