state_name,rs_exposure_total,open_works,rs_exposure_crore
Maharashtra,5496389865.748449,7583,549.6389865748449
Uttar Pradesh,5313159167.029069,17532,531.3159167029069
West Bengal,4544288815.476686,7882,454.42888154766854
Karnataka,4443703636.086033,8667,444.37036360860327
Tamil Nadu,3625938784.6594286,5343,362.59387846594285
Madhya Pradesh,2902350876.8189187,9643,290.23508768189186
Odisha,2490147691.3973794,8348,249.01476913973795
Andhra Pradesh,2432784967.7561684,4364,243.27849677561684
Telangana,2316110238.8662143,7153,231.61102388662144
Rajasthan,2217480720.806206,4578,221.74807208062063
Kerala,2144280189.0047247,4468,214.42801890047247
Gujarat,2039239669.1653562,8147,203.92396691653562
Assam,2025932743.128417,3740,202.59327431284171
Jharkhand,1960020857.8015244,6620,196.00208578015244
Bihar,1154616436.2047358,2870,115.46164362047358
Haryana,977659941.7734126,2304,97.76599417734126
Punjab,796389769.6921611,3179,79.6389769692161
Delhi,763043784.3777014,870,76.30437843777014
Himachal Pradesh,653280197.2031894,3558,65.32801972031893
Uttarakhand,623658384.3012376,2235,62.36583843012376
Chhattisgarh,587409947.5169357,1958,58.74099475169357
Jammu And Kashmir,345779870.0703827,926,34.577987007038274
Goa,328148033.6587679,293,32.814803365876784
Tripura,284666611.1389853,231,28.466661113898528
Manipur,279940203.43115705,138,27.994020343115704
Puducherry,242852364.6462732,172,24.28523646462732
Meghalaya,189708378.75608045,578,18.970837875608044
Mizoram,174498354.41158083,397,17.449835441158083
The Dadra And Nagar Haveli And Daman And Diu,151707536.58104053,104,15.170753658104053
Arunachal Pradesh,143468194.97908205,323,14.346819497908205
Lakshadweep,135509397.90303007,47,13.550939790303007
Sikkim,130722329.18101394,174,13.072232918101394
Andaman And Nicobar Islands,94570600.87962756,57,9.457060087962756
Ladakh,82683684.43389443,184,8.268368443389443
Chandigarh,60499952.815530345,90,6.049995281553034
Nagaland,34250127.41839879,11,3.425012741839879
