work_id,seq,event_type,timestamp
W00001,1,RECOMMEND,2024-08-11
W00001,2,SANCTION,2024-10-15
W00001,3,EXECUTION_START,2024-11-06
W00001,4,PROGRESS_UPDATE,2024-12-15
W00001,5,PAYMENT,2025-04-05
W00002,1,RECOMMEND,2023-09-02
W00002,2,SANCTION,2023-11-20
W00002,3,EXECUTION_START,2023-12-05
W00002,4,PROGRESS_UPDATE,2024-02-19
W00002,5,PAYMENT,2024-03-12
W00003,1,RECOMMEND,2025-09-02
W00003,2,SANCTION,2025-10-28
W00003,3,EXECUTION_START,2025-11-28
W00003,4,PROGRESS_UPDATE,2026-01-16
W00003,5,PAYMENT,2026-04-05
W00003,6,COMPLETION,2026-08-28
W00003,7,EVIDENCE_UPLOAD,2026-09-02
W00004,1,RECOMMEND,2026-01-18
W00004,2,SANCTION,2026-03-25
W00004,3,EXECUTION_START,2026-04-12
W00004,4,PROGRESS_UPDATE,2026-05-17
W00004,5,PAYMENT,2026-10-26
W00005,1,RECOMMEND,2024-10-30
W00005,2,SANCTION,2025-01-23
W00005,3,EXECUTION_START,2025-02-10
W00005,4,PROGRESS_UPDATE,2025-05-11
W00005,5,PAYMENT,2025-08-13
W00006,1,RECOMMEND,2023-10-26
W00006,2,SANCTION,2023-12-13
W00006,3,EXECUTION_START,2024-01-16
W00006,4,PROGRESS_UPDATE,2024-03-06
W00006,5,PAYMENT,2024-03-25
W00006,6,COMPLETION,2024-05-22
W00007,1,RECOMMEND,2025-08-17
W00007,2,SANCTION,2025-10-13
W00007,3,EXECUTION_START,2025-11-17
W00007,4,PROGRESS_UPDATE,2026-02-15
W00007,5,PAYMENT,2026-02-15
W00007,6,COMPLETION,2026-07-19
W00007,7,EVIDENCE_UPLOAD,2026-07-24
W00008,1,RECOMMEND,2024-09-28
W00008,2,SANCTION,2024-12-10
W00008,3,EXECUTION_START,2025-01-23
W00008,4,PROGRESS_UPDATE,2025-02-19
W00008,5,PAYMENT,2025-07-27
W00009,1,RECOMMEND,2024-07-04
W00009,2,SANCTION,2024-08-23
W00009,3,EXECUTION_START,2024-10-01
W00009,4,PROGRESS_UPDATE,2024-10-24
W00009,5,PAYMENT,2025-04-01
W00009,6,COMPLETION,2025-03-04
W00009,7,EVIDENCE_UPLOAD,2025-03-06
W00010,1,RECOMMEND,2023-09-12
W00010,2,SANCTION,2023-12-11
W00010,3,EXECUTION_START,2024-01-05
W00010,4,PROGRESS_UPDATE,2024-02-21
W00010,5,PAYMENT,2024-04-01
W00010,6,COMPLETION,2024-08-24
W00010,7,EVIDENCE_UPLOAD,2024-08-31
W00011,1,RECOMMEND,2025-01-20
W00011,2,SANCTION,2025-03-02
W00012,1,RECOMMEND,2024-11-01
W00012,2,SANCTION,2025-01-06
W00012,3,EXECUTION_START,2025-02-03
W00012,4,PROGRESS_UPDATE,2025-04-29
W00012,5,PAYMENT,2025-06-18
W00013,1,RECOMMEND,2023-05-05
W00013,2,SANCTION,2023-07-28
W00013,3,EXECUTION_START,2023-08-30
W00013,4,PROGRESS_UPDATE,2023-10-14
W00013,5,PAYMENT,2023-10-29
W00014,1,RECOMMEND,2023-12-25
W00014,2,SANCTION,2024-02-27
W00014,3,EXECUTION_START,2024-03-26
W00014,4,PROGRESS_UPDATE,2024-06-23
W00014,5,PAYMENT,2024-09-28
W00014,6,COMPLETION,2024-06-07
W00014,7,EVIDENCE_UPLOAD,2024-06-14
W00015,1,RECOMMEND,2024-06-05
W00015,2,SANCTION,2024-08-26
W00015,3,EXECUTION_START,2024-10-09
W00015,4,PROGRESS_UPDATE,2024-12-02
W00015,5,PAYMENT,2025-03-12
W00015,6,COMPLETION,2024-12-09
W00015,7,EVIDENCE_UPLOAD,2024-12-12
W00016,1,RECOMMEND,2023-06-03
W00016,2,SANCTION,2023-07-06
W00016,3,EXECUTION_START,2023-07-23
W00016,4,PROGRESS_UPDATE,2023-09-21
W00016,5,PAYMENT,2023-08-30
W00017,1,RECOMMEND,2024-11-06
W00017,2,SANCTION,2024-12-13
W00017,3,EXECUTION_START,2025-01-01
W00017,4,PROGRESS_UPDATE,2025-02-12
W00017,5,PAYMENT,2025-01-31
W00018,1,RECOMMEND,2024-04-28
W00018,2,SANCTION,2024-06-20
W00018,3,EXECUTION_START,2024-07-25
W00018,4,PROGRESS_UPDATE,2024-09-14
W00018,5,PAYMENT,2024-11-12
W00019,1,RECOMMEND,2023-09-14
W00019,2,SANCTION,2023-11-06
W00019,3,EXECUTION_START,2023-12-19
W00019,4,PROGRESS_UPDATE,2024-02-25
W00019,5,PAYMENT,2024-03-25
W00019,6,COMPLETION,2024-07-09
W00019,7,EVIDENCE_UPLOAD,2024-07-10
W00020,1,RECOMMEND,2023-12-26
W00020,2,SANCTION,2024-01-30
W00020,3,EXECUTION_START,2024-03-03
W00020,4,PROGRESS_UPDATE,2024-04-07
W00020,5,PAYMENT,2024-09-17
W00021,1,RECOMMEND,2025-09-01
W00021,2,SANCTION,2025-11-21
W00022,1,RECOMMEND,2023-08-02
W00022,2,SANCTION,2023-09-12
W00022,3,EXECUTION_START,2023-10-17
W00022,4,PROGRESS_UPDATE,2023-12-26
W00022,5,PAYMENT,2024-03-11
W00022,6,COMPLETION,2024-02-17
W00022,7,EVIDENCE_UPLOAD,2024-02-22
W00023,1,RECOMMEND,2023-10-30
W00023,2,SANCTION,2024-01-12
W00023,3,EXECUTION_START,2024-02-14
W00023,4,PROGRESS_UPDATE,2024-04-25
W00023,5,PAYMENT,2024-08-10
W00023,6,COMPLETION,2024-10-24
W00023,7,EVIDENCE_UPLOAD,2024-10-26
W00024,1,RECOMMEND,2025-11-13
W00024,2,SANCTION,2026-01-19
W00025,1,RECOMMEND,2025-01-25
W00025,2,SANCTION,2025-04-02
W00025,3,EXECUTION_START,2025-04-25
W00025,4,PROGRESS_UPDATE,2025-07-02
W00025,5,PAYMENT,2025-07-19
W00025,6,COMPLETION,2026-02-06
W00025,7,EVIDENCE_UPLOAD,2026-02-09
W00026,1,RECOMMEND,2025-12-02
W00026,2,SANCTION,2026-02-14
W00026,3,EXECUTION_START,2026-03-20
W00026,4,PROGRESS_UPDATE,2026-04-18
W00026,5,PAYMENT,2026-08-16
W00026,6,COMPLETION,2026-07-10
W00026,7,EVIDENCE_UPLOAD,2026-07-16
W00027,1,RECOMMEND,2023-07-07
W00027,2,SANCTION,2023-09-24
W00027,3,EXECUTION_START,2023-10-17
W00027,4,PROGRESS_UPDATE,2023-11-11
W00027,5,PAYMENT,2024-01-02
W00028,1,RECOMMEND,2024-04-19
W00028,2,SANCTION,2024-06-10
W00028,3,EXECUTION_START,2024-07-09
W00028,4,PROGRESS_UPDATE,2024-09-15
W00028,5,PAYMENT,2024-11-02
W00029,1,RECOMMEND,2023-08-19
W00029,2,SANCTION,2023-09-22
W00029,3,EXECUTION_START,2023-10-28
W00029,4,PROGRESS_UPDATE,2024-01-03
W00029,5,PAYMENT,2023-12-25
W00030,1,RECOMMEND,2025-01-15
W00030,2,SANCTION,2025-03-20
W00030,3,EXECUTION_START,2025-04-20
W00030,4,PROGRESS_UPDATE,2025-06-16
W00030,5,PAYMENT,2025-11-06
W00031,1,RECOMMEND,2023-09-17
W00031,2,SANCTION,2023-11-27
W00031,3,EXECUTION_START,2024-01-04
W00031,4,PROGRESS_UPDATE,2024-03-25
W00031,5,PAYMENT,2024-07-04
W00032,1,RECOMMEND,2024-10-01
W00032,2,SANCTION,2024-11-06
W00032,3,EXECUTION_START,2024-11-29
W00032,4,PROGRESS_UPDATE,2025-01-22
W00032,5,PAYMENT,2025-04-06
W00032,6,COMPLETION,2025-04-07
W00032,7,EVIDENCE_UPLOAD,2025-04-10
W00033,1,RECOMMEND,2024-05-28
W00033,2,SANCTION,2024-07-06
W00033,3,EXECUTION_START,2024-07-29
W00033,4,PROGRESS_UPDATE,2024-09-11
W00033,5,PAYMENT,2024-09-22
W00033,6,COMPLETION,2025-02-25
W00033,7,EVIDENCE_UPLOAD,2025-03-03
W00034,1,RECOMMEND,2025-06-27
W00034,2,SANCTION,2025-09-01
W00034,3,EXECUTION_START,2025-09-21
W00034,4,PROGRESS_UPDATE,2025-12-02
W00034,5,PAYMENT,2025-12-24
W00034,6,COMPLETION,2026-01-10
W00034,7,EVIDENCE_UPLOAD,2026-01-16
W00035,1,RECOMMEND,2023-07-07
W00035,2,SANCTION,2023-09-21
W00035,3,EXECUTION_START,2023-10-26
W00035,4,PROGRESS_UPDATE,2024-01-21
W00035,5,PAYMENT,2023-12-22
W00036,1,RECOMMEND,2025-11-14
W00036,2,SANCTION,2025-12-21
W00036,3,EXECUTION_START,2026-01-23
W00036,4,PROGRESS_UPDATE,2026-02-18
W00036,5,PAYMENT,2026-08-09
W00036,6,COMPLETION,2026-06-04
W00036,7,EVIDENCE_UPLOAD,2026-06-04
W00037,1,RECOMMEND,2024-06-08
W00037,2,SANCTION,2024-07-13
W00037,3,EXECUTION_START,2024-08-24
W00037,4,PROGRESS_UPDATE,2024-10-09
W00037,5,PAYMENT,2025-02-23
W00037,6,COMPLETION,2025-05-25
W00037,7,EVIDENCE_UPLOAD,2025-05-26
W00038,1,RECOMMEND,2023-06-22
W00038,2,SANCTION,2023-08-16
W00038,3,EXECUTION_START,2023-09-15
W00038,4,PROGRESS_UPDATE,2023-10-07
W00038,5,PAYMENT,2023-11-01
W00038,6,COMPLETION,2024-03-14
W00038,7,EVIDENCE_UPLOAD,2024-03-21
W00039,1,RECOMMEND,2025-10-03
W00039,2,SANCTION,2025-12-10
W00039,3,EXECUTION_START,2026-01-06
W00039,4,PROGRESS_UPDATE,2026-03-25
W00039,5,PAYMENT,2026-02-05
W00040,1,RECOMMEND,2023-06-11
W00040,2,SANCTION,2023-07-18
W00040,3,EXECUTION_START,2023-08-21
W00040,4,PROGRESS_UPDATE,2023-11-06
W00040,5,PAYMENT,2024-01-11
W00040,6,COMPLETION,2023-12-02
W00040,7,EVIDENCE_UPLOAD,2023-12-07
W00041,1,RECOMMEND,2023-08-02
W00041,2,SANCTION,2023-09-07
W00041,3,EXECUTION_START,2023-10-04
W00041,4,PROGRESS_UPDATE,2023-11-08
W00041,5,PAYMENT,2023-12-21
W00041,6,COMPLETION,2024-04-02
W00041,7,EVIDENCE_UPLOAD,2024-04-02
W00042,1,RECOMMEND,2024-12-07
W00042,2,SANCTION,2025-01-21
W00043,1,RECOMMEND,2023-12-14
W00043,2,SANCTION,2024-01-15
W00043,3,EXECUTION_START,2024-02-14
W00043,4,PAYMENT,2024-05-02
W00043,5,COMPLETION,2024-04-27
W00043,6,EVIDENCE_UPLOAD,2024-05-01
W00044,1,RECOMMEND,2024-05-29
W00044,2,SANCTION,2024-07-30
W00044,3,EXECUTION_START,2024-08-26
W00044,4,PROGRESS_UPDATE,2024-11-03
W00044,5,PAYMENT,2024-12-19
W00045,1,RECOMMEND,2024-09-24
W00045,2,SANCTION,2024-11-10
W00045,3,EXECUTION_START,2024-12-21
W00045,4,PROGRESS_UPDATE,2025-01-29
W00045,5,PAYMENT,2025-05-29
W00045,6,COMPLETION,2025-04-03
W00045,7,EVIDENCE_UPLOAD,2025-04-05
W00046,1,RECOMMEND,2025-04-29
W00046,2,SANCTION,2025-07-24
W00046,3,EXECUTION_START,2025-08-27
W00046,4,PROGRESS_UPDATE,2025-09-25
W00046,5,PAYMENT,2025-10-08
W00047,1,RECOMMEND,2023-08-02
W00047,2,SANCTION,2023-10-15
W00047,3,EXECUTION_START,2023-10-31
W00047,4,PROGRESS_UPDATE,2023-12-26
W00047,5,PAYMENT,2024-05-13
W00047,6,COMPLETION,2024-02-07
W00047,7,EVIDENCE_UPLOAD,2024-02-10
W00048,1,RECOMMEND,2024-12-31
W00048,2,SANCTION,2025-03-21
W00049,1,RECOMMEND,2023-11-25
W00049,2,SANCTION,2024-01-19
W00049,3,EXECUTION_START,2024-02-10
W00049,4,PROGRESS_UPDATE,2024-04-27
W00049,5,PAYMENT,2024-08-15
W00049,6,COMPLETION,2024-11-07
W00049,7,EVIDENCE_UPLOAD,2024-11-08
W00050,1,RECOMMEND,2023-09-22
W00050,2,SANCTION,2023-11-13
W00050,3,EXECUTION_START,2023-12-04
W00050,4,PROGRESS_UPDATE,2024-01-01
W00050,5,PAYMENT,2024-01-21
W00050,6,COMPLETION,2024-06-05
W00050,7,EVIDENCE_UPLOAD,2024-06-08
W00051,1,RECOMMEND,2023-07-15
W00051,2,SANCTION,2023-09-29
W00051,3,EXECUTION_START,2023-10-20
W00051,4,PROGRESS_UPDATE,2023-12-03
W00051,5,PAYMENT,2024-04-23
W00051,6,COMPLETION,2024-07-29
W00051,7,EVIDENCE_UPLOAD,2024-08-04
W00052,1,RECOMMEND,2024-04-10
W00052,2,SANCTION,2024-05-21
W00053,1,RECOMMEND,2024-07-10
W00053,2,SANCTION,2024-09-25
W00053,3,EXECUTION_START,2024-11-04
W00053,4,PROGRESS_UPDATE,2024-12-03
W00053,5,PAYMENT,2025-01-09
W00054,1,RECOMMEND,2024-06-22
W00054,2,SANCTION,2024-08-18
W00054,3,EXECUTION_START,2024-09-11
W00054,4,PROGRESS_UPDATE,2024-11-06
W00054,5,PAYMENT,2025-02-06
W00055,1,RECOMMEND,2025-04-06
W00055,2,SANCTION,2025-05-06
W00055,3,EXECUTION_START,2025-05-25
W00055,4,PROGRESS_UPDATE,2025-06-14
W00055,5,PAYMENT,2025-11-06
W00055,6,COMPLETION,2026-01-01
W00055,7,EVIDENCE_UPLOAD,2026-01-04
W00056,1,RECOMMEND,2024-09-21
W00056,2,SANCTION,2024-12-13
W00056,3,EXECUTION_START,2024-12-29
W00056,4,PROGRESS_UPDATE,2025-03-22
W00056,5,PAYMENT,2025-06-16
W00056,6,COMPLETION,2025-07-31
W00056,7,EVIDENCE_UPLOAD,2025-08-06
W00057,1,RECOMMEND,2025-08-05
W00057,2,SANCTION,2025-09-12
W00057,3,EXECUTION_START,2025-10-20
W00057,4,PROGRESS_UPDATE,2025-11-11
W00057,5,PAYMENT,2026-03-04
W00057,6,COMPLETION,2026-07-01
W00057,7,EVIDENCE_UPLOAD,2026-07-03
W00058,1,RECOMMEND,2025-12-20
W00058,2,SANCTION,2026-02-14
W00058,3,EXECUTION_START,2026-03-12
W00058,4,PROGRESS_UPDATE,2026-04-18
W00058,5,PAYMENT,2026-09-19
W00059,1,RECOMMEND,2024-12-28
W00059,2,SANCTION,2025-02-05
W00059,3,EXECUTION_START,2025-03-10
W00059,4,PROGRESS_UPDATE,2025-04-28
W00059,5,PAYMENT,2025-05-14
W00059,6,COMPLETION,2025-07-28
W00059,7,EVIDENCE_UPLOAD,2025-08-04
W00060,1,RECOMMEND,2025-08-16
W00060,2,SANCTION,2025-09-21
W00060,3,EXECUTION_START,2025-10-19
W00060,4,PROGRESS_UPDATE,2026-01-04
W00060,5,PAYMENT,2025-12-07
W00060,6,COMPLETION,2026-06-07
W00060,7,EVIDENCE_UPLOAD,2026-06-10
W00061,1,RECOMMEND,2024-09-09
W00061,2,SANCTION,2024-10-12
W00062,1,RECOMMEND,2023-07-12
W00062,2,SANCTION,2023-09-27
W00062,3,EXECUTION_START,2023-10-14
W00062,4,PROGRESS_UPDATE,2023-12-02
W00062,5,PAYMENT,2024-03-26
W00062,6,COMPLETION,2024-06-08
W00063,1,RECOMMEND,2023-06-13
W00063,2,SANCTION,2023-07-22
W00063,3,EXECUTION_START,2023-09-03
W00063,4,PROGRESS_UPDATE,2023-11-12
W00063,5,PAYMENT,2023-11-17
W00063,6,COMPLETION,2024-04-30
W00063,7,EVIDENCE_UPLOAD,2024-04-30
W00064,1,RECOMMEND,2025-07-19
W00064,2,SANCTION,2025-09-11
W00064,3,EXECUTION_START,2025-10-20
W00064,4,PROGRESS_UPDATE,2025-11-25
W00064,5,PAYMENT,2026-03-09
W00065,1,RECOMMEND,2023-04-04
W00065,2,SANCTION,2023-07-03
W00065,3,EXECUTION_START,2023-07-29
W00065,4,PROGRESS_UPDATE,2023-10-19
W00065,5,PAYMENT,2023-12-28
W00065,6,COMPLETION,2023-11-02
W00065,7,EVIDENCE_UPLOAD,2023-11-03
W00066,1,RECOMMEND,2025-10-26
W00066,2,SANCTION,2025-12-24
W00066,3,EXECUTION_START,2026-01-25
W00066,4,PROGRESS_UPDATE,2026-04-04
W00066,5,PAYMENT,2026-05-13
W00066,6,COMPLETION,2026-08-10
W00066,7,EVIDENCE_UPLOAD,2026-08-13
W00067,1,RECOMMEND,2023-04-28
W00067,2,SANCTION,2023-07-05
W00067,3,EXECUTION_START,2023-07-21
W00067,4,PROGRESS_UPDATE,2023-08-25
W00067,5,PAYMENT,2024-01-24
W00068,1,RECOMMEND,2025-07-21
W00068,2,SANCTION,2025-09-09
W00068,3,EXECUTION_START,2025-10-08
W00068,4,PROGRESS_UPDATE,2025-12-11
W00068,5,PAYMENT,2026-03-31
W00068,6,COMPLETION,2026-04-15
W00068,7,EVIDENCE_UPLOAD,2026-04-20
W00069,1,RECOMMEND,2025-08-06
W00069,2,SANCTION,2025-09-23
W00069,3,EXECUTION_START,2025-10-21
W00069,4,PROGRESS_UPDATE,2025-12-02
W00069,5,PAYMENT,2026-03-15
W00070,1,RECOMMEND,2023-07-31
W00070,2,SANCTION,2023-10-23
W00070,3,EXECUTION_START,2023-11-19
W00070,4,PROGRESS_UPDATE,2024-02-17
W00070,5,PAYMENT,2024-02-11
W00070,6,COMPLETION,2024-04-25
W00070,7,EVIDENCE_UPLOAD,2024-05-02
W00071,1,RECOMMEND,2024-11-11
W00071,2,SANCTION,2025-01-03
W00071,3,EXECUTION_START,2025-02-16
W00071,4,PROGRESS_UPDATE,2025-03-08
W00071,5,PAYMENT,2025-04-13
W00071,6,COMPLETION,2025-09-30
W00071,7,EVIDENCE_UPLOAD,2025-10-05
W00072,1,RECOMMEND,2023-04-15
W00072,2,SANCTION,2023-06-18
W00072,3,EXECUTION_START,2023-07-26
