work_id,is_anomalous,anomaly_types
W00001,0,
W00002,0,
W00003,0,
W00004,0,
W00005,0,
W00006,1,LIFECYCLE_VIOLATION
W00007,0,
W00008,0,
W00009,0,
W00010,1,COST_ANOMALY
W00011,0,
W00012,0,
W00013,0,
W00014,0,
W00015,0,
W00016,0,
W00017,0,
W00018,0,
W00019,0,
W00020,0,
W00021,0,
W00022,0,
W00023,0,
W00024,0,
W00025,1,COST_ANOMALY
W00026,0,
W00027,0,
W00028,1,PAYMENT_ANOMALY
W00029,0,
W00030,0,
W00031,0,
W00032,0,
W00033,1,THRESHOLD_BUNCHING
W00034,0,
W00035,0,
W00036,0,
W00037,0,
W00038,0,
W00039,0,
W00040,0,
W00041,0,
W00042,0,
W00043,1,LIFECYCLE_VIOLATION
W00044,0,
W00045,0,
W00046,0,
W00047,0,
W00048,0,
W00049,0,
W00050,0,
W00051,1,COST_ANOMALY
W00052,0,
W00053,0,
W00054,0,
W00055,0,
W00056,0,
W00057,0,
W00058,0,
W00059,0,
W00060,1,COST_ANOMALY
W00061,0,
W00062,1,LIFECYCLE_VIOLATION
W00063,0,
W00064,1,THRESHOLD_BUNCHING
W00065,1,DUPLICATE_WORK
W00066,0,
W00067,0,
W00068,0,
W00069,0,
W00070,0,
W00071,0,
W00072,0,
W00073,0,
W00074,1,DUPLICATE_WORK
W00075,0,
W00076,0,
W00077,0,
W00078,0,
W00079,0,
W00080,0,
W00081,0,
W00082,0,
W00083,0,
W00084,0,
W00085,1,PAYMENT_ANOMALY
W00086,0,
W00087,1,EVIDENCE_REUSE
W00088,1,COST_ANOMALY
W00089,1,EVIDENCE_REUSE
W00090,1,THRESHOLD_BUNCHING
W00091,0,
W00092,0,
W00093,0,
W00094,0,
W00095,0,
W00096,0,
W00097,0,
W00098,0,
W00099,0,
W00100,1,COST_ANOMALY|EVIDENCE_REUSE
W00101,0,
W00102,0,
W00103,0,
W00104,0,
W00105,0,
W00106,0,
W00107,0,
W00108,1,AGENCY_CONCENTRATION
W00109,0,
W00110,0,
W00111,0,
W00112,0,
W00113,0,
W00114,0,
W00115,0,
W00116,0,
W00117,1,AGENCY_CONCENTRATION
W00118,0,
W00119,0,
W00120,1,COST_ANOMALY
W00121,0,
W00122,1,PAYMENT_ANOMALY
W00123,0,
W00124,0,
W00125,0,
W00126,1,COST_ANOMALY
W00127,0,
W00128,0,
W00129,0,
W00130,1,PAYMENT_ANOMALY
W00131,0,
W00132,0,
W00133,0,
W00134,0,
W00135,0,
W00136,0,
W00137,0,
W00138,0,
W00139,1,COST_ANOMALY
W00140,0,
W00141,0,
W00142,0,
W00143,0,
W00144,0,
W00145,0,
W00146,1,THRESHOLD_BUNCHING
W00147,1,AGENCY_CONCENTRATION
W00148,1,LIFECYCLE_VIOLATION
W00149,0,
W00150,0,
W00151,0,
W00152,0,
W00153,0,
W00154,1,THRESHOLD_BUNCHING
W00155,0,
W00156,0,
W00157,0,
W00158,0,
W00159,0,
W00160,1,PAYMENT_ANOMALY|THRESHOLD_BUNCHING
W00161,0,
W00162,0,
W00163,0,
W00164,0,
W00165,0,
W00166,0,
W00167,0,
W00168,0,
W00169,0,
W00170,0,
W00171,0,
W00172,0,
W00173,0,
W00174,0,
W00175,0,
W00176,0,
W00177,0,
W00178,1,AGENCY_CONCENTRATION
W00179,0,
W00180,1,THRESHOLD_BUNCHING
W00181,0,
W00182,0,
W00183,0,
W00184,1,EVIDENCE_REUSE|LIFECYCLE_VIOLATION
W00185,0,
W00186,0,
W00187,0,
W00188,0,
W00189,0,
W00190,1,AGENCY_CONCENTRATION
W00191,1,COST_ANOMALY|LIFECYCLE_VIOLATION
W00192,0,
W00193,0,
W00194,0,
W00195,0,
W00196,0,
W00197,0,
W00198,0,
W00199,0,
W00200,0,
W00201,1,AGENCY_CONCENTRATION
W00202,0,
W00203,0,
W00204,0,
W00205,0,
W00206,0,
W00207,1,AGENCY_CONCENTRATION|DUPLICATE_WORK
W00208,1,AGENCY_CONCENTRATION
W00209,0,
W00210,0,
W00211,0,
W00212,0,
W00213,0,
W00214,1,LIFECYCLE_VIOLATION
W00215,0,
W00216,0,
W00217,0,
W00218,0,
W00219,0,
W00220,0,
W00221,0,
W00222,0,
W00223,0,
W00224,1,PAYMENT_ANOMALY
W00225,0,
W00226,0,
W00227,0,
W00228,0,
W00229,0,
W00230,0,
W00231,0,
W00232,1,COST_ANOMALY
W00233,0,
W00234,1,DUPLICATE_WORK
W00235,0,
W00236,1,COST_ANOMALY|MULTI_SIGNAL|PAYMENT_ANOMALY|THRESHOLD_BUNCHING
W00237,1,LIFECYCLE_VIOLATION
W00238,0,
W00239,0,
W00240,0,
W00241,0,
W00242,0,
W00243,1,COST_ANOMALY
W00244,1,AGENCY_CONCENTRATION
W00245,0,
W00246,1,EVIDENCE_REUSE
W00247,1,AGENCY_CONCENTRATION
W00248,0,
W00249,0,
W00250,0,
W00251,0,
W00252,0,
W00253,0,
W00254,0,
W00255,1,AGENCY_CONCENTRATION
W00256,0,
W00257,0,
W00258,0,
W00259,0,
